Study ID	Reported Trait	Trait	Citation	P-Value Annotation	Beta Annotation	Score Type	Units (if applicable)	Used Super Population	SNPs Excluded Due To Cutoffs	SNP Overlap	Included SNPs	Polygenic Risk Score	Percentile
GCST007461	Alcohol Consumption (Drinks Per Week)	Alcohol Consumption Measurement	Liu et al. 2019	NA	NA	beta	unit	EUR	0	43	80	0.001416356302547129	21
GCST007472	Alcohol Consumption (Drinks Per Week) (Mtag)	Alcohol Consumption Measurement	Liu et al. 2019	NA	NA	beta	unit	EUR	0	87	155	0.0002337255798496856	6
GCST006718	Alcohol Use Disorder (Consumption Score)	Alcohol Consumption Measurement	Sanchez-Roige et al. 2018	NA	NA	beta	unit	EUR	0	6	8	0.007282765540492316	35-39
GCST004026	Alcohol Consumption	Alcohol Consumption Measurement	Schumann et al. 2016	NA	NA	beta	unit	EUR	0	3	3	-0.0017000000000000001	86-92
GCST004027	Alcohol Consumption (Heavy Vs. Light/Non-Drinkers)	Alcohol Consumption Measurement	Schumann et al. 2016	NA	(initial cohort)	beta	unit	EUR	0	1	2	-0.043448073610088116	11-49
GCST009797	Alcohol Consumption (Heavy Vs. Light/Non-Drinkers)	Alcohol Consumption Measurement	Thompson et al. 2020	NA	NA	beta	z score	EUR	0	5	9	5.829711082937834	18
GCST009797	Alcohol Consumption (Heavy Vs. Light/Non-Drinkers)	Alcohol Consumption Measurement	Thompson et al. 2020	NA	NA	OR	NA	EUR	0	1	1	NF	NA
GCST001753	Body Mass Index (Alcohol Intake Interaction)	Alcohol Consumption Measurement	Velez Edwards et al. 2012	(aa)	NA	beta	unit	EUR	0	1	1	0.39	93-100
GCST012366	Orofacial Cleft X Maternal Periconceptional Alcohol Use Interaction (1df)	Alcohol Consumption Measurement	Zhang et al. 2021	NA	NA	OR	NA	EUR	0	1	1	1.3431306712304651	0-100
GCST010543	Alcohol Consumption (Drinks Per Week) (Mtag)	Alcohol Consumption Measurement	Zhou et al. 2020	NA	NA	beta	unit	EUR	0	49	86	0.0007537900566952561	6
GCST010544	Problematic Alcohol Use (Mtag)	Alcohol Consumption Measurement	Zhou et al. 2020	NA	NA	beta	unit	EUR	0	44	76	0.0019355783434309667	9
GCST004365	Blood Protein Levels	Alcohol Dehydrogenase [Nadp+] Measurement	Suhre et al. 2017	(ea, alcohol dehydrogenase [nadp(+)])	NA	beta	unit	EUR	0	1	1	-0.16295	6-41
GCST004712	Alcohol Dependence	Alcohol Dependence	Gelernter et al. 2014	(ea)	(EA, German Sample)	OR	NA	EUR	0	2	3	2.3232721722619503	67-96
GCST001053	Alcoholism (Alcohol Use Disorder Factor Score)	Alcohol Dependence	Heath et al. 2011	NA	NA	beta	unit	EUR	0	3	6	0.027223353829466973	38
GCST001054	Alcoholism (Alcohol Dependence Factor Score)	Alcohol Dependence	Heath et al. 2011	NA	NA	beta	unit	EUR	0	4	6	0.0013742941417440636	55
GCST001055	Alcoholism (12-Month Weekly Alcohol Consumption)	Alcohol Dependence	Heath et al. 2011	NA	NA	beta	unit	EUR	0	1	2	0.0924664070626517	31-33
GCST008259	Alcohol Use Disorder	Alcohol Dependence	Kranzler et al. 2019	(ea)	NA	OR	NA	EUR	0	7	10	1.0837549276703606	12
GCST008259	Alcohol Use Disorder	Alcohol Dependence	Kranzler et al. 2019	(latino)	NA	OR	NA	EUR	0	1	2	1.3545791004176697	6-67
GCST008259	Alcohol Use Disorder	Alcohol Dependence	Kranzler et al. 2019	NA	NA	beta	z score	EUR	0	7	9	2.240614016179966	17
GCST011955	Alcohol Dependence	Alcohol Dependence	Li et al. 2020	(model 1)	NA	beta	unit	EUR	0	3	5	0.0751947032908298	91-92
GCST011955	Alcohol Dependence	Alcohol Dependence	Li et al. 2020	(model 2)	NA	beta	unit	EUR	0	2	2	0.3675	96-98
GCST002134	Alcohol Dependence	Alcohol Dependence	McGue et al. 2013	NA	NA	beta	unit	EUR	0	3	4	0.043375	92-99
GCST000432	Alcohol Dependence	Alcohol Dependence	Treutlein et al. 2009	NA	NA	OR	NA	EUR	0	3	5	1.0654643545716138	25
GCST005022	Major Depression And Alcohol Dependence	Alcohol Dependence	Zhou et al. 2017	NA	NA	beta	unit	EUR	0	4	5	0.06999999999999999	44
GCST001874	Alcohol Dependence	Alcohol Dependence	Zuo et al. 2013	NA	NA	OR	NA	EUR	0	1	1	1.1224972160321824	32
GCST004711	Alcohol Dependence	Alcohol Dependence Measurement	Gelernter et al. 2014	(ea)	(EA, SAGE Discovery)	beta	unit	EUR	0	2	3	-0.005570296417724472	10
GCST003902	Fast Beta Electroencephalogram	Alcohol Dependence Measurement	Meyers et al. 2016	NA	NA	beta	unit	EUR	0	3	5	-0.03474257065463778	16-17
GCST006717	Alcohol Use Disorder (Dependence And Problematic Use Scores)	Alcohol Dependence Measurement	Sanchez-Roige et al. 2018	NA	NA	beta	unit	EUR	0	3	4	0.010423708594002499	16-27
GCST004405	Alcohol Consumption (Drinks Per Week)	Alcohol Drinking	Jorgenson et al. 2017	(ea, adjusted for lean body mass)	NA	beta	drinks per week	EUR	0	2	2	0.0025000000000000005	67-85
GCST004405	Alcohol Consumption (Drinks Per Week)	Alcohol Drinking	Jorgenson et al. 2017	(hispanic/latino, adjusted for lean body mass)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST004405	Alcohol Consumption (Drinks Per Week)	Alcohol Drinking	Jorgenson et al. 2017	NA	NA	beta	drinks per week	EUR	0	2	2	0.0	56-87
GCST001029	Alcohol Consumption	Alcohol Drinking	Schumann et al. 2011	(quantile transformation)	NA	beta	unit	EUR	0	1	1	-0.0065	7-44
GCST002307	Systolic Blood Pressure (Alcohol Consumption Interaction)	Alcohol Drinking	Simino et al. 2013	(drinks/week)	NA	beta	unit	EUR	0	6	8	0.03840274340867439	89
GCST002307	Systolic Blood Pressure (Alcohol Consumption Interaction)	Alcohol Drinking	Simino et al. 2013	(oz alcohol/week)	NA	beta	unit	EUR	0	2	3	0.04790540798593223	93
GCST002308	Mean Arterial Pressure (Alcohol Consumption Interaction)	Alcohol Drinking	Simino et al. 2013	(days drinks/week)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST002308	Mean Arterial Pressure (Alcohol Consumption Interaction)	Alcohol Drinking	Simino et al. 2013	(drinks/week)	NA	beta	unit	EUR	0	4	6	0.0029999027522596192	71
GCST002309	Diastolic Blood Pressure (Alcohol Consumption Interaction)	Alcohol Drinking	Simino et al. 2013	(oz alcohol/week)	NA	beta	unit	EUR	0	1	1	0.1945	58-95
GCST002310	Pulse Pressure (Alcohol Consumption Interaction)	Alcohol Drinking	Simino et al. 2013	(days drinks/week)	NA	beta	unit	EUR	0	1	2	-0.00695695642601229	33-35
GCST002310	Pulse Pressure (Alcohol Consumption Interaction)	Alcohol Drinking	Simino et al. 2013	(oz alcohol/week)	NA	beta	unit	EUR	0	1	1	0.0005	54-93
GCST005236	Problematic Alcohol Use In Trauma-Exposed Individuals	Alcohol Use Disorder Measurement	Almli et al. 2017	(aa, initial)	NA	beta	unit	EUR	0	3	5	0.019711995564230922	0-16
GCST008258	Alcohol Use Disorder (Consumption Score)	Alcohol Use Disorder Measurement	Kranzler et al. 2019	(aa)	NA	beta	unit	EUR	0	1	2	0.2617480288459565	6
GCST008258	Alcohol Use Disorder (Consumption Score)	Alcohol Use Disorder Measurement	Kranzler et al. 2019	(ea)	NA	beta	unit	EUR	0	8	13	0.04752906818531151	25
GCST008258	Alcohol Use Disorder (Consumption Score)	Alcohol Use Disorder Measurement	Kranzler et al. 2019	(latino)	NA	beta	unit	EUR	0	1	1	0.349	6-100
GCST008258	Alcohol Use Disorder (Consumption Score)	Alcohol Use Disorder Measurement	Kranzler et al. 2019	NA	NA	beta	z score	EUR	0	9	11	5.09722839872974	20
GCST008259	Alcohol Use Disorder	Alcohol Use Disorder Measurement	Kranzler et al. 2019	(ea)	NA	OR	NA	EUR	0	7	10	1.0837549276703606	12
GCST008259	Alcohol Use Disorder	Alcohol Use Disorder Measurement	Kranzler et al. 2019	(latino)	NA	OR	NA	EUR	0	1	2	1.3545791004176697	6-67
GCST008259	Alcohol Use Disorder	Alcohol Use Disorder Measurement	Kranzler et al. 2019	NA	NA	beta	z score	EUR	0	7	9	2.240614016179966	17
GCST006716	Alcohol Use Disorder (Total Score)	Alcohol Use Disorder Measurement	Sanchez-Roige et al. 2018	NA	NA	beta	z score	EUR	0	11	15	0.4348271355578793	50
GCST010544	Problematic Alcohol Use (Mtag)	Alcohol Use Disorder Measurement	Zhou et al. 2020	NA	NA	beta	unit	EUR	0	44	76	0.0019355783434309667	9
GCST010545	Alcohol Use Disorder	Alcohol Use Disorder Measurement	Zhou et al. 2020	NA	NA	beta	unit	EUR	0	16	26	-0.09887165128170955	36
GCST010546	Problematic Alcohol Use	Alcohol Use Disorder Measurement	Zhou et al. 2020	NA	NA	beta	z score	EUR	0	21	32	0.21990952582422807	87
GCST011639	Cirrhosis (Alcohol Related)	Alcoholic Liver Cirrhosis	Schwantes-An et al. 2020	NA	NA	beta	unit	EUR	0	6	12	-0.04919160998719476	82
GCST001276	Liver Enzyme Levels (Alkaline Phosphatase)	Alkaline Phosphatase Measurement	Chambers et al. 2011	NA	NA	beta	%	EUR	0	10	14	1.8484114274906658	97
GCST90011900	Serum Alkaline Phosphatase Levels	Alkaline Phosphatase Measurement	Chen et al. 2021	NA	NA	beta	z-score	EUR	0	132	216	4.5864682895853095	78
GCST002214	Serum Alkaline Phosphatase Levels	Alkaline Phosphatase Measurement	Li et al. 2013	NA	NA	beta	U/L	EUR	0	3	4	0.005125	37-100
GCST010047	Serum Alkaline Phosphatase Levels	Alkaline Phosphatase Measurement	Seo et al. 2020	NA	NA	beta	NA	EUR	0	1	1	NF	NA
GCST000248	Liver Enzyme Levels	Alkaline Phosphatase Measurement	Yuan et al. 2008	(alp)	NA	beta	U/L	EUR	0	4	5	0.006	63-89
GCST005038	Allergic Disease (Asthma, Hay Fever Or Eczema)	Allergic Disease	Ferreira et al. 2017	NA	NA	OR	NA	EUR	0	74	136	1.0277472264442151	24
GCST002083	Self-Reported Allergy	Allergic Disease	Hinds et al. 2013	NA	NA	beta	unit	EUR	0	20	35	0.00887473431051393	65
GCST90086042	Allergic Rhinitis	Allergic Rhinitis	Guindo-Martínez et al. 2021	NA	NA	OR	NA	EUR	0	3	4	1.0104191820242008	26-32
GCST009716	Allergic Disease (Asthma, Hay Fever Or Eczema)	Allergic Rhinitis	Johansson et al. 2019	NA	NA	OR	NA	EUR	0	43	79	1.032678601670839	42
GCST009717	Hay Fever And/Or Eczema	Allergic Rhinitis	Johansson et al. 2019	NA	NA	OR	NA	EUR	0	84	153	1.0341045757928753	7
GCST90018792	Allergic Rhinitis	Allergic Rhinitis	Sakaue et al. 2021	NA	NA	beta	unit	EUR	0	1	1	-0.0435	8-46
GCST006409	Allergic Rhinitis	Allergic Rhinitis	Waage et al. 2018	NA	NA	OR	NA	EUR	0	21	39	1.0300672827230828	36
GCST006408	Allergic Sensitization	Allergic Sensitization Measurement	Waage et al. 2018	NA	NA	OR	NA	EUR	0	10	18	1.0816612792507534	59
GCST006661	Male-Pattern Baldness	Alopecia	Hagenaars et al. 2017	NA	NA	beta	unit	EUR	0	120	240	0.0031229477601892592	86
GCST000719	Alopecia Areata	Alopecia Areata	Petukhova et al. 2010	NA	NA	OR	NA	EUR	0	5	8	1.1974203390347338	87-88
GCST009651	Serum Alpha-Fetoprotein Levels	Alpha Fetoprotein Measurement	Olafsson et al. 2019	NA	NA	beta	unit	EUR	0	2	3	-0.05867494581894603	4
GCST004365	Blood Protein Levels	Alpha-1-Antichymotrypsin Complex Measurement	Suhre et al. 2017	(ea, alpha-1-antichymotrypsin complex)	NA	beta	unit	EUR	0	1	1	-0.21615	3-29
GCST004365	Blood Protein Levels	Alpha-1-Antichymotrypsin Measurement	Suhre et al. 2017	(ea, alpha-1-antichymotrypsin)	NA	beta	unit	EUR	0	1	1	-0.1884	3-29
GCST004365	Blood Protein Levels	Alpha-2-Hs-Glycoprotein Measurement	Suhre et al. 2017	(alpha-2-hs-glycoprotein)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST000237	Alzheimer's Disease	Alzheimer Disease	Abraham et al. 2008	NA	NA	OR	NA	EUR	0	1	1	1.2767145334803705	28-77
GCST012182	Alzheimer's Disease	Alzheimer Disease	de Rojas et al. 2021	NA	NA	OR	NA	EUR	0	7	11	1.0046671564607454	91
GCST007319	Alzheimer's Disease (Late Onset)	Alzheimer Disease	Jansen et al. 2019	NA	NA	beta	z-score	EUR	0	14	28	0.12524549959797193	62
GCST002813	Alzheimer's Disease In Apoe E4+ Carriers	Alzheimer Disease	Jun et al. 2015	NA	NA	OR	NA	EUR	0	11	16	1.1257099008265417	88
GCST002814	Alzheimer's Disease (Apoe E4 Interaction)	Alzheimer Disease	Jun et al. 2015	NA	NA	OR	NA	EUR	0	2	4	1.0389642540231778	5
GCST004246	Alzheimer's Disease	Alzheimer Disease	Jun et al. 2017	NA	NA	OR	NA	EUR	0	3	3	1.0414581271069792	45-61
GCST004249	Alzheimer's Disease In Apoe E4- Carriers	Alzheimer Disease	Jun et al. 2017	NA	NA	OR	NA	EUR	0	2	3	1.0628937814101664	50
GCST001947	Alzheimer's Disease (Late Onset)	Alzheimer Disease	Miyashita et al. 2013	(japanese)	NA	OR	NA	EUR	0	1	1	1.445683229480096	57-94
GCST007330	Alzheimer's Disease With Memory Domain Impairment	Alzheimer Disease	Mukherjee et al. 2018	NA	NA	OR	NA	EUR	0	1	2	1.295233223033604	95
GCST007334	Alzheimer's Disease With Language Domain Impairment	Alzheimer Disease	Mukherjee et al. 2018	NA	NA	OR	NA	EUR	0	4	6	1.265025645374553	95
GCST001026	Alzheimer's Disease (Late Onset)	Alzheimer Disease	Naj et al. 2011	NA	NA	OR	NA	EUR	0	3	4	1.0462968934413792	71
GCST007600	Alzheimer's Disease	Alzheimer Disease	Nazarian et al. 2019	(females)	NA	OR	NA	EUR	0	2	4	1.2703182769790426	16-22
GCST007600	Alzheimer's Disease	Alzheimer Disease	Nazarian et al. 2019	(males)	NA	OR	NA	EUR	0	1	2	1.1631662137336911	15-30
GCST008437	Alzheimer's Disease In Hypertension-Negative Individuals	Alzheimer Disease	Nazarian et al. 2019	NA	NA	OR	NA	EUR	0	1	2	1.744750153121669	13-45
GCST002422	Alzheimer's Disease	Alzheimer Disease	Pérez-Palma et al. 2014	NA	NA	OR	NA	EUR	0	3	5	1.115261157973161	11-14
GCST000046	Alzheimer's Disease (Late Onset)	Alzheimer Disease	Reiman et al. 2007	NA	NA	OR	NA	EUR	0	1	1	2.0149441679609885	4-31
GCST012215	Alzheimer's Disease	Alzheimer Disease	Shigemizu et al. 2021	NA	NA	OR	NA	EUR	0	2	3	0.9194084273042407	16-22
GCST000614	Brain Structure (Temporal Lobe Volume)	Alzheimer Disease	Stein et al. 2010	NA	NA	beta	unit	EUR	0	3	5	2526.404960625025	32-37
GCST000980	Alzheimer's Disease (Late Onset)	Alzheimer Disease	Wijsman et al. 2011	(apoe e4 homozygotes)	NA	OR	NA	EUR	0	1	1	NF	NA
GCST001762	Obesity-Related Traits	Amino Acid Measurement	Comuzzie et al. 2012	(cystathionine )	NA	beta	μmol/L	EUR	0	3	5	0.008817875390070479	59-65
GCST001762	Obesity-Related Traits	Amino Acid Measurement	Comuzzie et al. 2012	(methionine )	NA	beta	μmol/L	EUR	0	2	3	0.008527230091883614	16-50
GCST001762	Obesity-Related Traits	Amino Acid Measurement	Comuzzie et al. 2012	(total cysteine )	NA	beta	μmol/L	EUR	0	5	7	0.004394815970043346	51-58
GCST002966	Amino Acid Levels	Amino Acid Measurement	Draisma et al. 2015	(glutamine)	NA	beta	unit	EUR	0	1	1	0.0171	4-32
GCST002966	Amino Acid Levels	Amino Acid Measurement	Draisma et al. 2015	(phenylalanine)	NA	beta	unit	EUR	0	1	1	-0.0101	38-85
GCST002966	Amino Acid Levels	Amino Acid Measurement	Draisma et al. 2015	(serine)	NA	beta	unit	EUR	0	2	3	-0.013804914956930306	39-49
GCST002966	Amino Acid Levels	Amino Acid Measurement	Draisma et al. 2015	(tyrosine)	NA	beta	unit	EUR	0	1	1	-0.01485	54-93
GCST007382	Plasma Free Amino Acid Levels (Adjusted For Twenty Other Pfaas)	Amino Acid Measurement	Imaizumi et al. 2019	(arg)	NA	beta	unit	EUR	0	1	2	-0.25431147147467525	78-94
GCST007382	Plasma Free Amino Acid Levels (Adjusted For Twenty Other Pfaas)	Amino Acid Measurement	Imaizumi et al. 2019	(gln)	NA	beta	unit	EUR	0	1	1	-0.205	10-12
GCST007382	Plasma Free Amino Acid Levels (Adjusted For Twenty Other Pfaas)	Amino Acid Measurement	Imaizumi et al. 2019	(orn)	NA	beta	unit	EUR	0	1	2	-0.2153698023631078	42-84
GCST007385	Plasma Free Amino Acid Levels	Amino Acid Measurement	Imaizumi et al. 2019	(ala)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST007385	Plasma Free Amino Acid Levels	Amino Acid Measurement	Imaizumi et al. 2019	(gln)	NA	beta	unit	EUR	0	1	1	-0.205	68-97
GCST007385	Plasma Free Amino Acid Levels	Amino Acid Measurement	Imaizumi et al. 2019	(gly)	NA	beta	unit	EUR	0	1	2	0.3670636771613741	24-33
GCST007385	Plasma Free Amino Acid Levels	Amino Acid Measurement	Imaizumi et al. 2019	(leu)	NA	beta	unit	EUR	0	1	2	0.4574131121480528	0
GCST007385	Plasma Free Amino Acid Levels	Amino Acid Measurement	Imaizumi et al. 2019	(pro)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST003666	Metabolite Levels (Small Molecules And Protein Measures)	Amino Acid Measurement	Kettunen et al. 2016	(alanine)	NA	beta	unit	EUR	0	2	2	-0.0425	54-76
GCST003666	Metabolite Levels (Small Molecules And Protein Measures)	Amino Acid Measurement	Kettunen et al. 2016	(citrate)	NA	beta	unit	EUR	0	2	3	0.011922453420201805	1-6
GCST003666	Metabolite Levels (Small Molecules And Protein Measures)	Amino Acid Measurement	Kettunen et al. 2016	(glucose)	NA	beta	unit	EUR	0	2	3	0.044247965130677414	44-46
GCST003666	Metabolite Levels (Small Molecules And Protein Measures)	Amino Acid Measurement	Kettunen et al. 2016	(glutamine)	NA	beta	unit	EUR	0	2	2	-0.0375	24-31
GCST003666	Metabolite Levels (Small Molecules And Protein Measures)	Amino Acid Measurement	Kettunen et al. 2016	(histidine)	NA	beta	unit	EUR	0	2	3	0.00046311127277837844	64
GCST003666	Metabolite Levels (Small Molecules And Protein Measures)	Amino Acid Measurement	Kettunen et al. 2016	(phenylalanine)	NA	beta	unit	EUR	0	2	2	0.0024999999999999988	21-22
GCST003666	Metabolite Levels (Small Molecules And Protein Measures)	Amino Acid Measurement	Kettunen et al. 2016	(tyrosine)	NA	beta	unit	EUR	0	1	1	-0.05	18-65
GCST003666	Metabolite Levels (Small Molecules And Protein Measures)	Amino Acid Measurement	Kettunen et al. 2016	(valine)	NA	beta	unit	EUR	0	1	2	0.04677564033286502	42-43
GCST006076	Branched-Chain Amino Acid Levels (Leucine)	Amino Acid Measurement	Lotta et al. 2016	NA	NA	beta	unit	EUR	0	2	2	0.03225	41-63
GCST006077	Branched-Chain Amino Acid Levels (Isoleucine)	Amino Acid Measurement	Lotta et al. 2016	NA	NA	beta	unit	EUR	0	3	5	0.055747303024613816	57-61
GCST006078	Branched-Chain Amino Acid Levels (Valine)	Amino Acid Measurement	Lotta et al. 2016	NA	NA	beta	unit	EUR	0	2	3	0.05332843447329725	46-49
GCST007588	Attention Deficit Hyperactivity Disorder Or Amygdala Volume (Pleiotropy)	Amygdala Volume	Klein et al. 2019	NA	NA	beta	z score	EUR	0	1	1	-3.005	14-58
GCST009664	Amygdala Volume	Amygdala Volume	Satizabal et al. 2019	NA	NA	beta	z score	EUR	0	1	1	3.1615	5-38
GCST012459	Amyloid Beta Positivity	Amyloid-Beta Measurement	Kim et al. 2021	NA	NA	OR	NA	EUR	0	3	3	0.6686433873226094	9
GCST001664	Amyotrophic Lateral Sclerosis	Amyotrophic Lateral Sclerosis	Ahmeti et al. 2012	(joint)	NA	OR	NA	EUR	0	6	7	1.095989556432935	77-78
GCST001664	Amyotrophic Lateral Sclerosis	Amyotrophic Lateral Sclerosis	Ahmeti et al. 2012	(meta)	NA	OR	NA	EUR	0	2	2	1.12519192618884	56-79
GCST003175	Amyotrophic Lateral Sclerosis	Amyotrophic Lateral Sclerosis	Chen et al. 2015	NA	NA	OR	NA	EUR	0	4	6	1.3052245526884958	78
GCST000260	Amyotrophic Lateral Sclerosis	Amyotrophic Lateral Sclerosis	Cronin et al. 2008	NA	NA	OR	NA	EUR	0	1	1	1.1704699910719625	0-37
GCST001981	Amyotrophic Lateral Sclerosis	Amyotrophic Lateral Sclerosis	Deng et al. 2013	NA	NA	OR	NA	EUR	0	1	2	1.0128195175367263	0-89
GCST002509	Amyotrophic Lateral Sclerosis	Amyotrophic Lateral Sclerosis	Diekstra et al. 2014	NA	NA	OR	NA	EUR	0	2	4	1.0436271418950618	46-47
GCST000781	Amyotrophic Lateral Sclerosis	Amyotrophic Lateral Sclerosis	Laaksovirta et al. 2010	NA	NA	OR	NA	EUR	0	2	2	1.4212670403551895	70-98
GCST000406	Amyotrophic Lateral Sclerosis	Amyotrophic Lateral Sclerosis	Landers et al. 2009	(age of onset)	NA	beta	years	EUR	0	1	2	-1.0783838983276879	5-13
GCST000406	Amyotrophic Lateral Sclerosis	Amyotrophic Lateral Sclerosis	Landers et al. 2009	(site of onset)	NA	OR	NA	EUR	0	2	4	1.1779375691691463	33-50
GCST000406	Amyotrophic Lateral Sclerosis	Amyotrophic Lateral Sclerosis	Landers et al. 2009	(survival)	NA	beta	years	EUR	0	2	4	0.019000210808581705	0-30
GCST000406	Amyotrophic Lateral Sclerosis	Amyotrophic Lateral Sclerosis	Landers et al. 2009	(susceptibilty)	NA	OR	NA	EUR	0	3	4	1.1148577873591636	96
GCST010857	Amyotrophic Lateral Sclerosis	Amyotrophic Lateral Sclerosis	Nakamura et al. 2020	NA	NA	OR	NA	EUR	0	1	1	NF	NA
GCST000820	Amyotrophic Lateral Sclerosis	Amyotrophic Lateral Sclerosis	Shatunov et al. 2010	NA	NA	OR	NA	EUR	0	1	1	1.0700467279516348	0-41
GCST000127	Amyotrophic Lateral Sclerosis	Amyotrophic Lateral Sclerosis	van Es et al. 2007	NA	NA	OR	NA	EUR	0	1	1	1.140175425099138	0-37
GCST005364	Opioid Requirements During Laparoscopic-Assisted Colectomy	Analgesia Requirement Measurement	Nishizawa et al. 2017	(additive model)	NA	beta	unit	EUR	0	1	1	-0.017515	4-34
GCST001548	Male-Pattern Baldness	Androgenetic Alopecia	Li et al. 2012	NA	NA	OR	NA	EUR	0	6	7	1.1706203788483276	39
GCST005116	Male-Pattern Baldness	Androgenetic Alopecia	Pirastu et al. 2017	NA	NA	beta	unit	EUR	0	29	53	0.04208270630452285	51
GCST000250	Male-Pattern Baldness	Androgenetic Alopecia	Richards et al. 2008	(males)	NA	OR	NA	EUR	0	1	1	1.2649110640673518	23-71
GCST004363	Plasma Androstenedione Levels In Resected Early Stage-Receptor Positive Breast Cancer	Androstenedione Measurement	Dudenkov et al. 2017	NA	NA	beta	pg/mL	EUR	0	3	5	0.1373512837890058	48
GCST008886	Androstenedione Levels	Androstenedione Measurement	Pott et al. 2019	(men)	NA	beta	unit	EUR	0	1	1	0.0408593	33-81
GCST008886	Androstenedione Levels	Androstenedione Measurement	Pott et al. 2019	NA	NA	beta	unit	EUR	0	2	2	0.04500735	32
GCST002263	Acute Urticaria And Angioedema (Non-Steroidal Anti-Inflammatory Drug-Induced)	Angioedema	Cornejo-García et al. 2013	(east asian)	NA	OR	NA	EUR	0	1	2	1.2136220369563495	40-43
GCST90027157	Angioedema In Response To Angiotensin-Converting Enzyme Inhibitor	Angioedema	Ghouse et al. 2021	NA	NA	OR	NA	EUR	0	1	1	1.2727922061357857	6-39
GCST004365	Blood Protein Levels	Angiogenin Measurement	Suhre et al. 2017	(angiogenin)	NA	beta	unit	EUR	0	2	2	0.31705	88-99
GCST004365	Blood Protein Levels	Angiogenin Measurement	Suhre et al. 2017	(ea, angiogenin)	NA	beta	unit	EUR	0	1	2	-0.04071130862993355	43-44
GCST009731	Blood Protein Levels In Cardiovascular Risk	Angiopoietin-1 Receptor Measurement	Folkersen et al. 2017	NA	NA	beta	unit	EUR	0	1	2	-0.4269658837034203	88-98
GCST004365	Blood Protein Levels	Angiopoietin-1 Receptor, Soluble Measurement	Suhre et al. 2017	(angiopoietin-1 receptor, soluble)	NA	beta	unit	EUR	0	1	2	0.24809997866268368	92-99
GCST002731	Endothelial Growth Factor Levels	Angiopoietin-2 Receptor Measurement	Lieb et al. 2014	(stie-2)	NA	beta	unit	EUR	0	1	2	0.04498571980009774	80-91
GCST000565	Angiotensin-Converting Enzyme Activity	Angiotensin Converting Enzyme Activity Measurement	Chung et al. 2010	NA	% variance	beta	unit	EUR	0	1	2	4.166395881077288	24-55
GCST90093122	Plasma Angptl8 Levels	Angptl8 Measurement	Oldoni et al. 2021	NA	NA	beta	unit	EUR	0	1	2	0.06191678856976379	35-78
